id;NM_MUN;MRT;CD_MUN;VTN_média ;VTN_minimo;VTN_max
1;Abreu e Lima ;MRT I;2600054;15.716,13;7.764,00;23.668,26
2;C. de S.  Agostinho ;MRT I;2602902;15.716,13;7.764,00;23.668,26
3;Camaragibe ;MRT I;2603454;15.716,13;7.764,00;23.668,26
4;Goiana ;MRT I;2606200;15.716,13;7.764,00;23.668,26
5;Igarassu ;MRT I;2606804;15.716,13;7.764,00;23.668,26
6;I. de Itamaraca;MRT I;2606408;15.716,13;7.764,00;23.668,26
7;Ipojuca ;MRT I;2607604;15.716,13;7.764,00;23.668,26
8;Itapissuma ;MRT I;2607752;15.716,13;7.764,00;23.668,26
9;J. dos Guararapes ;MRT I;2607802;15.716,13;7.764,00;23.668,26
10;Moreno ;MRT I;2609402;15.716,13;7.764,00;23.668,26
11;Olinda ;MRT I;2609600;15.716,13;7.764,00;23.668,26
12;Paulista ;MRT I;2610707;15.716,13;7.764,00;23.668,26
13;Recife ;MRT I;2611606;15.716,13;7.764,00;23.668,26
14;S. L. da Mata ;MRT I;2611903;15.716,13;7.764,00;23.668,26
15;AlianÃ§a ;MRT I;2600708;15.716,13;7.764,00;23.668,26
16;AraÃ§oiaba ;MRT II;2601052;9.407,72;4.052,78;14.762,66
17;Buenos Aires ;MRT II;2602803;9.407,72;4.052,78;14.762,66
18;Camutanga ;MRT II;2603603;9.407,72;4.052,78;14.762,66
19;Carpina ;MRT II;2604007;9.407,72;4.052,78;14.762,66
20;ChÃ£ de Alegria ;MRT II;2604403;9.407,72;4.052,78;14.762,66
21;Condado ;MRT II;2604601;9.407,72;4.052,78;14.762,66
22;Ferreiros ;MRT II;2605509;9.407,72;4.052,78;14.762,66
23;GlÃ³ria de GoitÃ¡ ;MRT II;2606002;9.407,72;4.052,78;14.762,66
24;ItambÃ© ;MRT II;2607653;9.407,72;4.052,78;14.762,66
25;Itaquitinga ;MRT II;2607802;9.407,72;4.052,78;14.762,66
26;Lagoa do Carro ;MRT II;2608503;9.407,72;4.052,78;14.762,66
27;Lagoa de Itaenga ;MRT II;2608503;9.407,72;4.052,78;14.762,66
28;Macaparana ;MRT II;2609006;9.407,72;4.052,78;14.762,66
29;Machados ;MRT II;2609105;9.407,72;4.052,78;14.762,66
30;NazarÃ© da Mata ;MRT II;2609501;9.407,72;4.052,78;14.762,66
31;Paudalho ;MRT II;2610608;9.407,72;4.052,78;14.762,66
32;Pombos ;MRT II;2611309;9.407,72;4.052,78;14.762,66
33;SÃ£o Vicente FÃ©rrer ;MRT II;2611903;9.407,72;4.052,78;14.762,66
34;TimbaÃºba ;MRT II;2615300;9.407,72;4.052,78;14.762,66
35;TracunhaÃ©m ;MRT II;2615508;9.407,72;4.052,78;14.762,66
36;VicÃªncia ;MRT II;2616308;9.407,72;4.052,78;14.762,66
37;VitÃ³ria de Santo AntÃ£o ;MRT II;2616407;9.407,72;4.052,78;14.762,66
38;Ãgua Preta ;MRT III;2600401;8.363,26;6.089,32;10.637,19
39;Amaraji ;MRT III;2600906;8.363,26;6.089,32;10.637,19
40;Barreiros ;MRT III;2601409;8.363,26;6.089,32;10.637,19
41;BelÃ©m de Maria ;MRT III;2601508;8.363,26;6.089,32;10.637,19
42;Catende ;MRT III;2604205;8.363,26;6.089,32;10.637,19
43;CortÃªs ;MRT III;2604809;8.363,26;6.089,32;10.637,19
44;Escada ;MRT III;2605202;8.363,26;6.089,32;10.637,19
45;Gameleira ;MRT III;2605905;8.363,26;6.089,32;10.637,19
46;Jaqueira ;MRT III;2607950;8.363,26;6.089,32;10.637,19
47;Joaquim Nabuco ;MRT III;2608206;8.363,26;6.089,32;10.637,19
48;Maraial ;MRT III;2609204;8.363,26;6.089,32;10.637,19
49;Palmares ;MRT III;2610004;8.363,26;6.089,32;10.637,19
50;Primavera ;MRT III;2611408;8.363,26;6.089,32;10.637,19
51;QuipapÃ¡ ;MRT III;2611507;8.363,26;6.089,32;10.637,19
52;RibeirÃ£o ;MRT III;2611804;8.363,26;6.089,32;10.637,19
53;Rio Formoso ;MRT III;2611903;8.363,26;6.089,32;10.637,19
54;SÃ£o Benedito do Sul ;MRT III;2611903;8.363,26;6.089,32;10.637,19
55;S. J. da C. Grande ;MRT III;2611903;8.363,26;6.089,32;10.637,19
56;SirinhaÃ©m ;MRT III;2614204;8.363,26;6.089,32;10.637,19
57;TamandarÃ© ;MRT III;2614857;8.363,26;6.089,32;10.637,19
58;XexÃ©u ;MRT III;2616506;8.363,26;6.089,32;10.637,19
59;Agrestina ;MRT IV;2600302;5.105,25;1.578,52;8.631,99
60;Altinho ;MRT IV;2600807;5.105,25;1.578,52;8.631,99
61;Bezerros ;MRT IV;2601904;5.105,25;1.578,52;8.631,99
62;Bom Jardim ;MRT IV;2602209;5.105,25;1.578,52;8.631,99
63;Caruaru ;MRT IV;2604106;5.105,25;1.578,52;8.631,99
64;Casinhas ;MRT IV;2604155;5.105,25;1.578,52;8.631,99
65;ChÃ£ Grande ;MRT IV;2604502;5.105,25;1.578,52;8.631,99
66;Cumaru ;MRT IV;2604908;5.105,25;1.578,52;8.631,99
67;Feira Nova ;MRT IV;2605400;5.105,25;1.578,52;8.631,99
68;Frei Miguelinho ;MRT IV;2605806;5.105,25;1.578,52;8.631,99
69;GravatÃ¡ ;MRT IV;2606408;5.105,25;1.578,52;8.631,99
70;JoÃ£o Alfredo ;MRT IV;2608107;5.105,25;1.578,52;8.631,99
71;Limoeiro ;MRT IV;2608909;5.105,25;1.578,52;8.631,99
72;OrobÃ³ ;MRT IV;2609709;5.105,25;1.578,52;8.631,99
73;Passira ;MRT IV;2610509;5.105,25;1.578,52;8.631,99
74;Riacho das Almas ;MRT IV;2611705;5.105,25;1.578,52;8.631,99
75;Salgadinho ;MRT IV;2613800;5.105,25;1.578,52;8.631,99
76;S. M. do CambucÃ¡ ;MRT IV;2611903;5.105,25;1.578,52;8.631,99
77;Surubim ;MRT IV;2614501;5.105,25;1.578,52;8.631,99
78;Toritama ;MRT IV;2615409;5.105,25;1.578,52;8.631,99
79;Vertente do LÃ©rio ;MRT IV;2616183;5.105,25;1.578,52;8.631,99
80;Ãguas Belas ;MRT V;2600500;2.395,28;1.258,93;3.531,64
81;Alagoinha ;MRT V;2600609;2.395,28;1.258,93;3.531,64
