CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,UniaoPop_Urbana,UniaoPop_Rural,UniaoÁrea_km2,UniaoArea,UniaoTax_Urbanização,UniaoDens_dem_hab_km2,UniaoRegiao,UniaoMRT
"2600054",Abreu e Lima,PE,126.193,,,,,,,,
"2600104",Afogados da Ingazeira,PE,377.696,,,,,,,,
"2600302",Agrestina,PE,200.581,,,,,,,,
"2600401",Água Preta,PE,533.332,,,,,,,,
"2600500",Águas Belas,PE,885.988,,,,,,,,
"2600609",Alagoinha,PE,216.452,,,,,,,,
"2600708",Aliança,PE,272.773,,,,,,,,
"2600807",Altinho,PE,452.523,,,,,,,,
"2600906",Amaraji,PE,234.956,,,,,,,,
"2601003",Angelim,PE,118.037,,,,,,,,
"2601052",Araçoiaba,PE,96.381,,,,,,,,
"2601201",Arcoverde,PE,323.370,,,,,,,,
"2601300",Barra de Guabiraba,PE,120.583,,,,,,,,
"2601409",Barreiros,PE,233.433,,,,,,,,
"2601508",Belém de Maria,PE,75.142,,,,,,,,
"2601706",Belo Jardim,PE,647.696,,,,,,,,
"2601904",Bezerros,PE,492.632,,,,,,,,
"2602100",Bom Conselho,PE,792.185,,,,,,,,
"2602209",Bom Jardim,PE,218.433,,,,,,,,
"2602308",Bonito,PE,390.107,,,,,,,,
"2602407",Brejão,PE,159.786,,,,,,,,
"2602506",Brejinho,PE,106.276,,,,,,,,
"2602605",Brejo da Madre de Deus,PE,762.346,,,,,,,,
"2602704",Buenos Aires,PE,93.187,,,,,,,,
"2602803",Buíque,PE,1320.870,,,,,,,,
"2602902",Cabo de Santo Agostinho,PE,445.343,,,,,,,,
"2603108",Cachoeirinha,PE,179.262,,,,,,,,
"2603207",Caetés,PE,294.946,,,,,,,,
"2603306",Calçado,PE,121.945,,,,,,,,
"2603405",Calumbi,PE,179.314,,,,,,,,
"2603454",Camaragibe,PE,51.257,,,,,,,,
"2603504",Camocim de São Félix,PE,71.985,,,,,,,,
"2603603",Camutanga,PE,39.116,,,,,,,,
"2603702",Canhotinho,PE,423.168,,,,,,,,
"2603801",Capoeiras,PE,336.329,,,,,,,,
"2603900",Carnaíba,PE,427.802,,,,,,,,
"2604007",Carpina,PE,147.666,,,,,,,,
"2604106",Caruaru,PE,920.610,,,,,,,,
"2604155",Casinhas,PE,115.868,,,,,,,,
"2604205",Catende,PE,207.244,,,,,,,,
"2604403",Chã de Alegria,PE,48.548,,,,,,,,
"2604502",Chã Grande,PE,84.848,,,,,,,,
"2604601",Condado,PE,89.645,,,,,,,,
"2604700",Correntes,PE,317.793,,,,,,,,
"2604809",Cortês,PE,101.316,,,,,,,,
"2604908",Cumaru,PE,292.231,,,,,,,,
"2605004",Cupira,PE,95.155,,,,,,,,
"2605103",Custódia,PE,1404.126,,,,,,,,
"2605202",Escada,PE,342.201,,,,,,,,
"2605400",Feira Nova,PE,107.726,,,,,,,,
"2605459",Fernando de Noronha,PE,18.609,,,,,,,,
"2605509",Ferreiros,PE,92.516,,,,,,,,
"2605608",Flores,PE,995.558,,,,,,,,
"2605806",Frei Miguelinho,PE,212.707,,,,,,,,
"2605905",Gameleira,PE,255.961,,,,,,,,
"2606002",Garanhuns,PE,458.552,,,,,,,,
"2606101",Glória do Goitá,PE,231.832,,,,,,,,
"2606200",Goiana,PE,445.886,,,,,,,,
"2606408",Gravatá,PE,503.946,,,,,,,,
"2606507",Iati,PE,635.137,,,,,,,,
"2606705",Ibirajuba,PE,189.596,,,,,,,,
"2606804",Igarassu,PE,305.507,,,,,,,,
"2606903",Iguaracy,PE,838.132,,,,,,,,
"2607109",Ingazeira,PE,243.669,,,,,,,,
"2607208",Ipojuca,PE,521.801,,,,,,,,
"2607505",Itaíba,PE,1061.694,,,,,,,,
