Municipio;Pop_Urbana;Pop_Rural;Pop_Total;Area;Tax_Urbanização;Dens_dem_hab_km2;Regiao;MRT;;
Abreu e Lima ;86.625;7.804;94.429;128,5 ;91,74 ;724,90;METROPOLITANA;MRT I;;
C. de S.  Agostinho ;167.783;17.242;185.025;446,5 ;90,68 ;414,32;METROPOLITANA;MRT I;;
Camaragibe ;144.466;- ;144.466;48,1 ;100,00 ;2.821,93;METROPOLITANA;MRT I;;
Goiana ;58.025;17.619;75.644;492,1 ;76,71 ;150,72;METROPOLITANA;MRT I;;
Igarassu ;93.931;8.090;102.021;302,9 ;92,07 ;333,88;METROPOLITANA;MRT I;;
I. de Itamaracá ;16.993;4.891;21.884;65,1 ;77,65 ;328,18;METROPOLITANA;MRT I;;
Ipojuca ;59.719;20.918;80.637;512,6 ;74,06 ;151,39;METROPOLITANA;MRT I;;
Itapissuma ;18.320;5.449;23.769;73,9 ;77,08 ;320,19;METROPOLITANA;MRT I;;
J. dos Guararapes ;630.595;14.025;644.620;256,2 ;97,82 ;2.493,06;METROPOLITANA;MRT I;;
Moreno ;50.197;6.499;56.696;191,3 ;88,54 ;289,16;METROPOLITANA;MRT I;;
Olinda ;370.332;7.447;377.779;37,9 ;98,03 ;9.068,36;METROPOLITANA;MRT I;;
Paulista ;300.466;- ;300.466;101,8 ;100,00 ;3.086,01;METROPOLITANA;MRT I;;
Recife ;1.537.704;- ;1.537.704;217,8 ;100,00 ;7.037,61;METROPOLITANA;MRT I;;
S. L. da Mata ;96.777;6.118;102.895;263,3 ;94,05 ;392,49;METROPOLITANA;MRT I;;
Aliança ;20.247;17.168;37.415;265,3 ;54,11 ;137,16;METROPOLITANA;MRT I;;
Araçoiaba ;15.268;2.888;18.156;96,5 ;84,09 ;196,74;MATA NORTE;MRT II;;
Buenos Aires ;7.917;4.620;12.537;87,1 ;63,15 ;134,54;MATA NORTE;MRT II;;
Camutanga ;6.534;1.622;8.156;37,9 ;80,11 ;217,39;MATA NORTE;MRT II;;
Carpina ;72.056;2.802;74.858;153,1 ;96,26 ;516,51;MATA NORTE;MRT II;;
Chã de Alegria ;9.565;2.839;12.404;57,9 ;77,11 ;255,98;MATA NORTE;MRT II;;
Condado ;22.637;1.645;24.282;90,5 ;93,23 ;270,87;MATA NORTE;MRT II;;
Ferreiros ;9.162;2.268;11.430;85,7 ;80,16 ;127,93;MATA NORTE;MRT II;;
Glória de Goitá ;15.434;13.585;29.019;211,0 ;53,19 ;125,17;MATA NORTE;MRT II;;
Itambé ;29.424;5.974;35.398;305,0 ;83,12 ;116,13;MATA NORTE;MRT II;;
Itaquitinga ;12.064;3.628;15.692;116,5 ;76,88 ;151,73;MATA NORTE;MRT II;;
Lagoa do Carro ;17.118;3.541;20.659;59,5 ;72,67 ;229,77;MATA NORTE;MRT II;;
Lagoa de Itaenga ;11.632;4.375;16.007;61,7 ;82,86 ;360,65;MATA NORTE;MRT II;;
Macaparana ;14.833;9.092;23.925;102,5 ;62,00 ;221,43;MATA NORTE;MRT II;;
Machados ;8.454;5.142;13.596;44,9 ;62,18 ;226,46;MATA NORTE;MRT II;;
Nazaré da Mata ;27.182;3.614;30.796;141,3 ;88,26 ;204,95;MATA NORTE;MRT II;;
Paudalho ;36.332;15.025;51.357;269,2 ;70,74 ;185,07;MATA NORTE;MRT II;;
Pombos ;16.011;8.035;24.046;208,0 ;66,58 ;117,84;MATA NORTE;MRT II;;
São Vicente Férrer ;11.201;5.799;17.000;119,7 ;65,89 ;149,14;MATA NORTE;MRT II;;
