Municipio,Pop_Urbana,Pop_Rural,Pop_Total,Area,Tax_Urbanização,Dens_dem_hab_km2,Regiao,MRT
"Abreu e Lima ,""86625"",""7804"",""94429"",""128,5 "",""91,74 "",""724,90"",METROPOLITANA,MRT I"
"C. de S.  Agostinho ,""167783"",""17242"",""185025"",""446,5 "",""90,68 "",""414,32"",METROPOLITANA,MRT I"
"Camaragibe ,""144466"",""- "",""144466"",""48,1 "",""100,00 "",""2.821,93"",METROPOLITANA,MRT I"
"Goiana ,""58025"",""17619"",""75644"",""492,1 "",""76,71 "",""150,72"",METROPOLITANA,MRT I"
"Igarassu ,""93931"",""8090"",""102021"",""302,9 "",""92,07 "",""333,88"",METROPOLITANA,MRT I"
"I. de Itamaracá ,""16993"",""4891"",""21884"",""65,1 "",""77,65 "",""328,18"",METROPOLITANA,MRT I"
"Ipojuca ,""59719"",""20918"",""80637"",""512,6 "",""74,06 "",""151,39"",METROPOLITANA,MRT I"
"Itapissuma ,""18320"",""5449"",""23769"",""73,9 "",""77,08 "",""320,19"",METROPOLITANA,MRT I"
"J. dos Guararapes ,""630595"",""14025"",""644620"",""256,2 "",""97,82 "",""2.493,06"",METROPOLITANA,MRT I"
"Moreno ,""50197"",""6499"",""56696"",""191,3 "",""88,54 "",""289,16"",METROPOLITANA,MRT I"
"Olinda ,""370332"",""7447"",""377779"",""37,9 "",""98,03 "",""9.068,36"",METROPOLITANA,MRT I"
"Paulista ,""300466"",""- "",""300466"",""101,8 "",""100,00 "",""3.086,01"",METROPOLITANA,MRT I"
"Recife ,""1537704"",""- "",""1537704"",""217,8 "",""100,00 "",""7.037,61"",METROPOLITANA,MRT I"
"S. L. da Mata ,""96777"",""6118"",""102895"",""263,3 "",""94,05 "",""392,49"",METROPOLITANA,MRT I"
"Aliança ,""20247"",""17168"",""37415"",""265,3 "",""54,11 "",""137,16"",METROPOLITANA,MRT I"
"Araçoiaba ,""15268"",""2888"",""18156"",""96,5 "",""84,09 "",""196,74"",MATA NORTE,MRT II"
"Buenos Aires ,""7917"",""4620"",""12537"",""87,1 "",""63,15 "",""134,54"",MATA NORTE,MRT II"
"Camutanga ,""6534"",""1622"",""8156"",""37,9 "",""80,11 "",""217,39"",MATA NORTE,MRT II"
"Carpina ,""72056"",""2802"",""74858"",""153,1 "",""96,26 "",""516,51"",MATA NORTE,MRT II"
"Chã de Alegria ,""9565"",""2839"",""12404"",""57,9 "",""77,11 "",""255,98"",MATA NORTE,MRT II"
"Condado ,""22637"",""1645"",""24282"",""90,5 "",""93,23 "",""270,87"",MATA NORTE,MRT II"
"Ferreiros ,""9162"",""2268"",""11430"",""85,7 "",""80,16 "",""127,93"",MATA NORTE,MRT II"
"Glória de Goitá ,""15434"",""13585"",""29019"",""211,0 "",""53,19 "",""125,17"",MATA NORTE,MRT II"
"Itambé ,""29424"",""5974"",""35398"",""305,0 "",""83,12 "",""116,13"",MATA NORTE,MRT II"
"Itaquitinga ,""12064"",""3628"",""15692"",""116,5 "",""76,88 "",""151,73"",MATA NORTE,MRT II"
"Lagoa do Carro ,""17118"",""3541"",""20659"",""59,5 "",""72,67 "",""229,77"",MATA NORTE,MRT II"
"Lagoa de Itaenga ,""11632"",""4375"",""16007"",""61,7 "",""82,86 "",""360,65"",MATA NORTE,MRT II"
"Macaparana ,""14833"",""9092"",""23925"",""102,5 "",""62,00 "",""221,43"",MATA NORTE,MRT II"
"Machados ,""8454"",""5142"",""13596"",""44,9 "",""62,18 "",""226,46"",MATA NORTE,MRT II"
