CD_MUN,NM_MUN,SIGLA_UF,U_POP_RUTA,U_POP_TOTA,U_AREA,U_REGIAO,U_MRT,TAX_URBANI,N_VTN_mÃ�,N_VTN_mini,N_VTN_max,V_POP_URBA,VTN_SR03
"2600054",Abreu e Lima,PE,"7804","94429",128.500000000000000,METROPOLITANA,MRT I,91.739999999999895,"15716.13","7764.00","23668.26",86625.000000000000000,15716.129999999999200
"2600104",Afogados da Ingazeira,PE,"7686","35088",377.696000000000026,SERTÃƒO (MOXOTÃ“ E PAJEÃš),MRT VIII,78.099999999999895,"88226.00","70536.00","105917.00",27402.000000000000000,88226.000000000000000
"2600302",Agrestina,PE,"5722","22679",197.199999999998994,AGRESTE LESTE,MRT IV,74.769999999999897,"5105.25","1578.52","8631.99",16957.000000000000000,5105.250000000000000
"2600401",Água Preta,PE,"14345","33095",543.000000000000000,MATA SUL,MRT III,56.659999999999897,"8363.26","6089.32","10637.19",18750.000000000000000,8363.260000000000218
"2600500",Águas Belas,PE,"15671","40235",883.899999999998954,AGRESTE OESTE,MRT V,61.049999999999898,"2395.28","1258.93","3531.64",24564.000000000000000,2395.280000000000200
"2600609",Alagoinha,PE,"5990","13759",179.300000000000011,AGRESTE OESTE,MRT V,56.460000000000001,"2395.28","1258.93","3531.64",7769.000000000000000,2395.280000000000200
"2600708",Aliança,PE,"17168","37415",265.300000000000011,MATA NORTE,MRT II,54.109999999999900,"9407.72","4052.78","14762.66",20247.000000000000000,9407.719999999999345
"2600807",Altinho,PE,"9577","22353",450.699999999999022,AGRESTE LESTE,MRT IV,57.159999999999897,"5105.25","1578.52","8631.99",12776.000000000000000,5105.250000000000000
"2600906",Amaraji,PE,"5894","21939",235.000000000000000,MATA SUL,MRT III,73.129999999999896,"8363.26","6089.32","10637.19",16045.000000000000000,8363.260000000000218
"2601003",Angelim,PE,"4115","10202",126.200000000000003,AGRESTE OESTE,MRT V,59.659999999999897,"2395.28","1258.93","3531.64",6087.000000000000000,2395.280000000000200
"2601052",Araçoiaba,PE,"2888","18156",96.500000000000000,MATA NORTE,MRT II,84.090000000000003,"9407.72","4052.78","14762.66",15268.000000000000000,9407.719999999999345
"2601201",Arcoverde,PE,"1386","12776",117.599999999999000,AGRESTE OESTE,MRT V,89.150000000000006,"2395.28","1258.93","3531.64",11390.000000000000000,2395.280000000000200
"2601300",Barra de Guabiraba,PE,"1386","12776",1176.000000000000000,BONITO,MRT VI,89.150000000000006,"17561.81","9698.30","25425.33",11390.000000000000000,17561.810000000001310
"2601409",Barreiros,PE,"6750","40732",233.000000000000000,MATA SUL,MRT III,83.430000000000007,"8363.26","6089.32","10637.19",33982.000000000000000,8363.260000000000218
"2601508",Belém de Maria,PE,"3362","11353",69.000000000000000,MATA SUL,MRT III,70.390000000000001,"8363.26","6089.32","10637.19",7991.000000000000000,8363.260000000000218
"2601706",Belo Jardim,PE,"14199","72432",650.899999999998954,AGRESTE OESTE,MRT V,80.400000000000006,"2395.28","1258.93","3531.64",58233.000000000000000,2395.280000000000200
"2601904",Bezerros,PE,"8928","58668",543.399999999998954,AGRESTE LESTE,MRT IV,84.780000000000001,"5105.25","1578.52","8631.99",49740.000000000000000,5105.250000000000000
"2602100",Bom Conselho,PE,"15724","45503",792.043000000000006,GARANHUNS,MRT VII,65.439999999999898,"753084.00","53696.00","969208.00",29779.000000000000000,753084.000000000000000
"2602209",Bom Jardim,PE,"22631","37826",207.400000000000006,AGRESTE LESTE,MRT IV,40.170000000000002,"5105.25","1578.52","8631.99",15195.000000000000000,5105.250000000000000
"2602308",Bonito,PE,"11358","37566",391.199999999999022,BONITO,MRT VI,69.769999999999897,"17561.81","9698.30","25425.33",26208.000000000000000,17561.810000000001310
"2602407",Brejão,PE,"5280","8844",159.786000000000001,GARANHUNS,MRT VII,40.299999999999898,"753084.00","53696.00","969208.00",3564.000000000000000,753084.000000000000000
"2602506",Brejinho,PE,"3921","7307",106.275999999999001,SERTÃƒO (MOXOTÃ“ E PAJEÃš),MRT VIII,46.340000000000003,"88226.00","70536.00","105917.00",3386.000000000000000,88226.000000000000000
"2602605",Brejo da Madre de Deus,PE,"4620","45180",779.299999999999045,AGRESTE OESTE,MRT V,77.739999999999895,"2395.28","1258.93","3531.64",35124.000000000000000,2395.280000000000200
"2602704",Buenos Aires,PE,"4620","12537",871.000000000000000,MATA NORTE,MRT II,6315.000000000000000,"9407.72","4052.78","14762.66",7917.000000000000000,9407.719999999999345
"2602803",Buíque,PE,"2777","17104",50.600000000000001,AGRESTE OESTE,MRT V,83.760000000000005,"2395.28","1258.93","3531.64",14327.000000000000000,2395.280000000000200
"2602902",Cabo de Santo Agostinho,PE,"17242","185025",446.500000000000000,METROPOLITANA,MRT I,90.680000000000007,"15716.13","7764.00","23668.26",167783.000000000000000,15716.129999999999200
"2603108",Cachoeirinha,PE,"3614","18819",182.500000000000000,AGRESTE OESTE,MRT V,80.799999999999898,"2395.28","1258.93","3531.64",15205.000000000000000,2395.280000000000200
"2603207",Caetés,PE,"19057","26577",322.899999999999011,AGRESTE OESTE,MRT V,28.300000000000001,"2395.28","1258.93","3531.64",7520.000000000000000,2395.280000000000200
"2603306",Calçado,PE,"7315","11125",55.700000000000003,AGRESTE OESTE,MRT V,34.250000000000000,"2395.28","1258.93","3531.64",3810.000000000000000,2395.280000000000200
"2603405",Calumbi,PE,"3468","5648",179.313999999998998,SERTÃƒO (MOXOTÃ“ E PAJEÃš),MRT VIII,38.600000000000001,"88226.00","70536.00","105917.00",2180.000000000000000,88226.000000000000000
"2603454",Camaragibe,PE,"0","144466",48.100000000000001,METROPOLITANA,MRT I,100.000000000000000,"15716.13","7764.00","23668.26",144466.000000000000000,15716.129999999999200
"2603504",Camocim de São Félix,PE,"2777","17104",50.600000000000001,BONITO,MRT VI,83.760000000000005,"17561.81","9698.30","25425.33",14.327000000000000,17561.810000000001310
"2603603",Camutanga,PE,"1622","8156",37.899999999999899,MATA NORTE,MRT II,80.109999999999900,"9407.72","4052.78","14762.66",6534.000000000000000,9407.719999999999345
"2603702",Canhotinho,PE,"10415","24521",421.199999999999022,AGRESTE OESTE,MRT V,57.530000000000001,"2395.28","1258.93","3531.64",14106.000000000000000,2395.280000000000200
"2603801",Capoeiras,PE,"13330","19593",342.899999999999011,AGRESTE OESTE,MRT V,31.969999999999899,"2395.28","1258.93","3531.64",6263.000000000000000,2395.280000000000200
"2603900",Carnaíba,PE,"10950","18574",427.802000000000021,SERTÃƒO (MOXOTÃ“ E PAJEÃš),MRT VIII,41.049999999999898,"88226.00","70536.00","105917.00",7624.000000000000000,88226.000000000000000
"2604007",Carpina,PE,"2802","74858",153.099999999999000,MATA NORTE,MRT II,96.260000000000005,"9407.72","4052.78","14762.66",72056.000000000000000,9407.719999999999345
"2604106",Caruaru,PE,"35323","314912",928.100000000000023,AGRESTE LESTE,MRT IV,88.780000000000001,"5105.25","1578.52","8631.99",279589.000000000000000,5105.250000000000000
"2604155",Casinhas,PE,"12062","13766",108.700000000000003,AGRESTE LESTE,MRT IV,12.380000000000001,"5105.25","1578.52","8631.99",1704.000000000000000,5105.250000000000000
"2604205",Catende,PE,"8959","37820",207.000000000000000,MATA SUL,MRT III,76.310000000000002,"8363.26","6089.32","10637.19",28861.000000000000000,8363.260000000000218
"2604403",Chã de Alegria,PE,"2839","12404",57.899999999999899,MATA NORTE,MRT II,77.109999999999900,"9407.72","4052.78","14762.66",9565.000000000000000,9407.719999999999345
"2604502",Chã Grande,PE,"6445","20137",70.000000000000000,AGRESTE LESTE,MRT IV,67.989999999999895,"5105.25","1578.52","8631.99",13692.000000000000000,5105.250000000000000
"2604601",Condado,PE,"1645","24282",90.500000000000000,MATA NORTE,MRT II,93.230000000000004,"9407.72","4052.78","14762.66",22637.000000000000000,9407.719999999999345
"2604700",Correntes,PE,"7090","17419",317.793000000000006,GARANHUNS,MRT VII,59.299999999999898,"753084.00","53696.00","969208.00",10329.000000000000000,753084.000000000000000
"2604809",Cortês,PE,"4551","12452",101.000000000000000,MATA SUL,MRT III,63.450000000000003,"8363.26","6089.32","10637.19",7901.000000000000000,8363.260000000000218
"2604908",Cumaru,PE,"9144","17183",277.300000000000011,AGRESTE LESTE,MRT IV,46.780000000000001,"5105.25","1578.52","8631.99",8039.000000000000000,5105.250000000000000
"2605004",Cupira,PE,"2603","23390",103.799999999999002,AGRESTE OESTE,MRT V,88.870000000000005,"2395.28","1258.93","3531.64",20787.000000000000000,2395.280000000000200
"2605103",Custódia,PE,"12139","33855",1404.126999999989948,SERTÃƒO (MOXOTÃ“ E PAJEÃš),MRT VIII,64.140000000000001,"88226.00","70536.00","105917.00",21716.000000000000000,88226.000000000000000
"2605202",Escada,PE,"9553","63517",347.000000000000000,MATA SUL,MRT III,84.959999999999894,"8363.26","6089.32","10637.19",53964.000000000000000,8363.260000000000218
"2605400",Feira Nova,PE,"4258","20571",118.299999999999002,AGRESTE LESTE,MRT IV,79.299999999999898,"5105.25","1578.52","8631.99",16313.000000000000000,5105.250000000000000
"2605509",Ferreiros,PE,"2268","11430",85.700000000000003,MATA NORTE,MRT II,80.159999999999897,"9407.72","4052.78","14762.66",9162.000000000000000,9407.719999999999345
"2605608",Flores,PE,"12805","22169",995.557999999998970,SERTÃƒO (MOXOTÃ“ E PAJEÃš),MRT VIII,42.240000000000002,"88226.00","70536.00","105917.00",9364.000000000000000,88226.000000000000000
"2605806",Frei Miguelinho,PE,"10904","14293",214.900000000000006,AGRESTE LESTE,MRT IV,23.710000000000001,"5105.25","1578.52","8631.99",3389.000000000000000,5105.250000000000000
"2605905",Gameleira,PE,"8408","27912",258.000000000000000,MATA SUL,MRT III,69.879999999999896,"8363.26","6089.32","10637.19",19504.000000000000000,8363.260000000000218
"2606002",Garanhuns,PE,"14052","129408",458.552000000000021,GARANHUNS,MRT VII,89.140000000000001,"753084.00","53696.00","969208.00",115356.000000000000000,753084.000000000000000
